ID_muestra;distancia;fruto_Viejo;fruto_nuevo;fruto;individuales;total
CL25_1_1;-5;0;0;0;90;90
CL25_1_2;-4,5;0;0;0;68;68
CL25_1_3;-4;8;0;8;27;35
CL25_1_4;-3,5;5;0;3;67;70
CL25_1_5;-3;3;0;3;129;133
CL25_1_6;-2,5;12;0;12;74;88
CL25_1_7;-2;3;0;3;61;64
CL25_1_8;-1,5;2;0;2;48;50
CL25_1_9;-1;3;0;3;15;18
CL25_1_10;-0,5;2;0;0;10;12
CL25_1_11;0;0;0;0;0;0
CL25_1_12;0,5;0;0;0;0;0
CL25_1_13;1;0;0;0;0;0
CL25_1_14;1,5;0;0;0;0;0
CL25_1_15;2;0;0;0;0;0
CL25_2_1;-5;7;0;7;48;56
CL25_2_2;-4,5;5;0;5;32;37
CL25_2_3;-4;4;0;4;65;70
CL25_2_4;-3,5;2;0;2;62;66
CL25_2_5;-3;5;0;5;17;25
CL25_2_6;-2,5;7;0;7;7;14
CL25_2_7;-2;10;0;9;12;21
CL25_2_8;-1,5;5;0;5;5;10
CL25_2_9;-1;4;0;3;2;6
CL25_2_10;-0,5;6;0;3;2;9
CL25_2_11;0;0;0;0;0;0
CL25_2_12;0,5;0;0;0;0;0
CL25_2_13;1;0;0;0;0;0
CL25_2_14;1,5;0;0;0;0;0
CL25_2_15;2;0;0;0;0;0
CL25_3_1;-5;21;0;20;85;107
CL25_3_2;-4,5;14;0;14;104;119
CL25_3_3;-4;10;0;9;44;54
CL25_3_4;-3,5;6;0;6;70;76
CL25_3_5;-3;5;0;5;28;33
CL25_3_6;-2,5;3;0;3;34;38
CL25_3_7;-2;3;0;3;8;11
CL25_3_8;-1,5;5;0;4;18;22
CL25_3_9;-1;1;0;1;4;6
CL25_3_10;-0,5;0;0;0;7;9
CL25_3_11;0;1;0;1;1;3
CL25_3_12;0,5;0;0;0;0;0
CL25_3_13;1;0;0;0;0;0
CL25_3_14;1,5;0;0;0;0;0
CL25_3_15;2;0;0;0;0;0
CL25_4_1;-5;12;0;12;84;98
CL25_4_2;-4,5;5;0;5;80;89
CL25_4_3;-4;8;0;8;106;114
CL25_4_4;-3,5;15;0;15;90;105
CL25_4_5;-3;14;0;11;54;65
CL25_4_6;-2,5;8;0;8;97;107
CL25_4_7;-2;11;0;11;75;88
CL25_4_8;-1,5;11;0;11;27;38
CL25_4_9;-1;3;0;3;8;12
CL25_4_10;-0,5;6;0;4;5;11
CL25_4_11;0;5;0;5;12;20
CL25_4_12;0,5;0;0;0;0;0
CL25_4_13;1;2;0;1;0;2
CL25_4_14;1,5;0;0;0;0;0
CL25_4_15;2;0;0;0;0;0
